,영화 대표코드,영화명,누적관객수
229,20184341,얼굴없는 보스,16355
230,20197803,겨울왕국 2,8583474
231,20185161,나를 찾아줘,462596
232,20195002,블랙머니,2259887
233,20199428,크롤,110081
234,20181434,신의 한 수: 귀수편,2147825
235,20199576,러브 앳,54320
236,20191029,82년생 김지영,3665813
237,20197336,허슬러,35620
238,20196284,윤희에게,86344
239,20192083,터미네이터: 다크 페이트,2401975
240,20197803,겨울왕국 2,10698101
241,20192401,포드 V 페라리,457689
242,20198430,나이브스 아웃,237227
243,20188462,감쪽같은 그녀,263966
244,20195002,블랙머니,2428710
245,20185161,나를 찾아줘,622170
246,20197278,라스트 크리스마스,144219
247,20199576,러브 앳,83522
248,20199428,크롤,138355
249,20190142,굿 라이어,19928
250,20197803,겨울왕국 2,12078017
251,20198681,쥬만지: 넥스트 레벨,802530
252,20192401,포드 V 페라리,878089
253,20198430,나이브스 아웃,448219
254,20188462,감쪽같은 그녀,427764
255,20197278,라스트 크리스마스,229102
256,20198182,아내를 죽였다,74840
257,20190545,카운트다운,53239
258,20198414,시동,49354
259,20195002,블랙머니,2470153
260,20192206,백두산,2459257
261,20198414,시동,1140882
262,20197803,겨울왕국 2,12737888
263,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,315834
264,20198681,쥬만지: 넥스트 레벨,1025799
265,20192401,포드 V 페라리,1066614
266,20198430,나이브스 아웃,561000
267,20188462,감쪽같은 그녀,466928
268,20190545,카운트다운,72215
269,20197278,라스트 크리스마스,246596
270,20192206,백두산,5742654
271,20198414,시동,2291273
272,20192721,캣츠,696173
273,20184571,천문: 하늘에 묻는다,702245
274,20197803,겨울왕국 2,13265198
275,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,620629
276,20199981,눈의 여왕4,119058
277,20192401,포드 V 페라리,1177035
278,20198818,프린스 코기,112330
279,20198430,나이브스 아웃,642671
280,20192206,백두산,7479389
281,20184571,천문: 하늘에 묻는다,1611399
282,20198414,시동,3037781
283,20196272,미드웨이,669797
284,20197803,겨울왕국 2,13593927
285,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,810299
286,20192401,포드 V 페라리,1288953
287,20198430,나이브스 아웃,719800
288,20191408,21 브릿지: 테러 셧다운 ,66366
289,20199981,눈의 여왕4,184801
290,20199581,닥터 두리틀,929622
291,20192206,백두산,7996424
292,20195462,스타워즈: 라이즈 오브 스카이워커,381509
293,20184571,천문: 하늘에 묻는다,1886373
294,20196272,미드웨이,884240
295,20198414,시동,3251346
296,20197803,겨울왕국 2,13684648
297,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,867161
298,20192401,포드 V 페라리,1323852
299,20198430,나이브스 아웃,753091
300,20183002,해치지않아,813395
301,20199581,닥터 두리틀,1454264
302,20196670,나쁜 녀석들: 포에버,402585
303,20192206,백두산,8200317
304,20195462,스타워즈: 라이즈 오브 스카이워커,485464
305,20184571,천문: 하늘에 묻는다,1968706
306,20198414,시동,3308844
307,20196272,미드웨이,941075
308,20197803,겨울왕국 2,13721190
